disaster_type,severity,population_affected,rainfall_mm,temperature_c,disaster_duration_days,district,state,latitude,longitude,food_required,medical_required,water_required,clothing_required
Earthquake,2,59707,638.06,19.2,30,RaeBareli,Uttar Pradesh,27.2532,80.6085,112665,4810,74981,44826
Flood,7,61952,854.22,16.5,9,Komaram Bheem Asifabad,Telangana,17.1165,78.6949,62030,11802,115219,30266
Tsunami,10,28480,998.3,21.0,14,Medak,Telangana,17.7583,78.0629,64632,7529,102550,25707
Cyclone,3,84447,182.67,11.3,5,Dahod,Gujarat,22.8986,72.1086,27381,9934,83104,32534
Cyclone,5,71357,694.14,32.8,22,Fazilka,Punjab,31.0282,75.6859,132023,12297,164314,56611
Fire,8,41291,886.99,44.6,2,Bhind,Madhya Pradesh,23.3064,77.2559,7259,15013,47214,13908
Cyclone,8,5030,575.94,32.2,24,Sepahijala,Tripura,23.6718,90.9166,12813,1398,13148,3812
Cyclone,6,4453,639.7,22.6,15,Jalna,Maharashtra,19.1891,73.2312,7497,832,7815,3370
Earthquake,5,7932,407.67,33.4,16,Siwan,Bihar,25.3965,85.6694,10845,1473,12096,4880
Flood,2,49654,674.76,30.0,19,Kapurthala,Punjab,30.7297,75.4534,70868,5093,79160,23813
Fire,9,88587,395.58,39.6,1,Bijnor,Uttar Pradesh,26.8579,80.6005,7860,42406,94622,27042
Earthquake,1,54117,476.62,31.8,23,Almora,Uttarakhand,30.552,77.919,64152,4436,49077,31773
Earthquake,2,57398,102.91,32.2,12,Kra Daadi,Arunachal Pradesh,27.1378,93.5931,38988,7376,54995,33251
Earthquake,1,51489,7.81,17.8,19,Bhadrak,Odisha,20.1114,85.3734,46230,3690,55681,29484
Earthquake,4,73406,55.15,24.5,20,Pondicherry,Puducherry (UT),11.814,79.6359,105688,11012,100531,46030
Earthquake,4,25625,192.52,22.1,15,Nizamabad,Telangana,17.7982,78.6559,24831,4295,34836,15776
Fire,5,82192,456.6,10.4,5,Satara,Maharashtra,19.042,73.4088,30231,16385,62339,23766
Fire,5,80730,20.99,21.0,1,Kalaburagi (Gulbarga),Karnataka,12.9391,77.8975,5121,18430,52981,22094
Fire,8,73571,155.94,27.0,11,Ujjain,Madhya Pradesh,23.7477,77.2652,72227,23392,85275,30573
Landslide,3,68311,781.44,31.0,27,Dewas,Madhya Pradesh,23.5118,77.5324,123576,9507,116838,40916
Flood,6,31380,762.17,42.7,9,Bareilly,Uttar Pradesh,26.7863,80.7626,29863,6349,73320,14759
Cyclone,3,11340,789.73,18.4,7,Mandla,Madhya Pradesh,23.8719,77.1844,6173,1357,12545,5993
Tsunami,2,65192,921.54,15.3,2,Boudh,Odisha,20.3061,86.301,10013,6748,80967,27118
Cyclone,8,69641,119.07,40.4,29,Vikarabad,Telangana,17.3429,79.1275,214146,17930,206439,64356
Flood,1,62951,163.14,43.0,17,Firozabad,Uttar Pradesh,26.5983,81.0037,61001,6127,77758,25180
Earthquake,9,6644,333.55,27.1,16,Tinsukia,Assam,26.3873,91.2562,12871,1604,15591,5349
Flood,7,58081,915.14,14.0,16,Darbhanga,Bihar,25.6105,85.3718,109755,9370,146188,33879
Flood,10,17432,775.48,27.0,14,Jalpaiguri,West Bengal,22.8114,88.0775,36501,5008,50438,11190
Tsunami,4,26936,324.12,13.8,27,Shahdara,Delhi (NCT),29.373,77.0914,64919,4210,61000,19701
Earthquake,3,14488,87.64,40.9,2,Yadadri Bhuvanagiri,Telangana,17.6251,77.8473,2100,2294,11995,7100
Cyclone,6,1794,616.38,34.8,19,Nayagarh,Odisha,19.7178,86.101,3108,359,3444,1100
Tsunami,9,86777,256.82,18.4,28,Tengnoupal,Manipur,24.5765,94.6857,324952,21025,328543,89260
Tsunami,9,88302,531.15,41.0,3,Thrissur,Kerala,8.5342,76.5155,35329,25600,180231,49669
Cyclone,4,49394,941.8,32.3,8,Moga,Punjab,31.047,75.9112,33936,7719,64024,24621
Cyclone,10,38869,572.62,43.4,21,Vijayapura (Bijapur),Karnataka,12.6197,77.517,97834,12617,111827,40273
Landslide,5,39520,923.83,44.3,25,Siwan,Bihar,25.5251,85.4974,79118,7862,69108,28895
Fire,9,37955,393.04,10.1,19,Bengaluru (Bangalore) Urban,Karnataka,12.9014,77.6689,64741,10184,74121,18519
Fire,2,1560,633.35,14.2,16,Pithoragarh,Uttarakhand,30.611,78.5282,1226,212,1386,488
Landslide,2,47746,893.89,29.1,22,East Godavari,Andhra Pradesh,16.0766,80.4076,54431,6980,58614,26955
Fire,5,41352,587.99,43.5,4,Kishanganj,Bihar,25.5892,84.8045,10962,13118,33416,10637
Cyclone,1,9935,614.9,44.8,8,Chhindwara,Madhya Pradesh,23.217,77.6371,4617,963,7871,3145
Fire,8,11010,716.31,29.9,28,Angul,Odisha,20.3983,85.8412,28041,4013,20827,6513
Cyclone,5,82857,882.11,16.1,1,Bhadrak,Odisha,19.9946,85.3483,7398,12916,97127,31629
Fire,10,91249,88.18,15.7,4,Allahabad,Uttar Pradesh,26.4377,80.9538,30542,30164,104518,28899
Earthquake,2,96989,336.86,36.7,7,Doda,Jammu and Kashmir,34.2503,74.7692,34455,13063,81804,43863
Flood,9,8563,397.68,30.7,25,Banaskantha (Palanpur),Gujarat,22.9528,72.2209,29700,1900,33897,6435
Earthquake,2,13436,909.71,29.2,29,Jalaun,Uttar Pradesh,26.6344,80.6998,23967,1578,19585,8514
Cyclone,7,26634,956.01,26.3,1,West Godavari,Andhra Pradesh,17.068,80.7523,2946,5572,42347,12944
Cyclone,8,2469,120.38,35.4,24,Surguja,Chhattisgarh,21.0165,81.8941,6071,568,6195,2077
Earthquake,6,25481,119.11,40.0,18,Thiruvananthapuram,Kerala,8.9509,76.9704,36941,5010,42976,21063
Cyclone,7,85194,934.86,20.6,4,Alappuzha,Kerala,8.7674,76.9749,36386,16749,132500,45482
Fire,1,88005,295.77,17.7,20,Kozhikode,Kerala,8.3412,77.0062,70008,11132,76491,25579
Flood,4,99286,241.81,33.5,14,Dhemaji,Assam,26.0241,92.2687,114961,10628,160768,46654
Fire,7,96590,35.62,42.0,8,Khargone,Madhya Pradesh,23.1421,77.5824,60500,33435,108657,33660
Landslide,1,25507,275.6,22.2,27,Burhanpur,Madhya Pradesh,23.1009,77.159,34380,2176,31677,12656
Fire,1,62652,693.53,19.5,18,Muktsar,Punjab,31.5302,75.6119,47918,8256,48676,16764
Earthquake,6,36039,426.04,17.9,7,Tikamgarh,Madhya Pradesh,23.336,77.8956,21585,6490,34347,20425
Tsunami,4,92403,516.87,18.9,3,South West Khasi Hills,Meghalaya,25.1689,91.5911,22098,13160,114667,38608
Cyclone,3,67676,917.3,14.7,25,Upper Subansiri,Arunachal Pradesh,27.0536,93.2327,111379,8140,119655,43320
Flood,5,88752,114.69,30.9,21,Imphal East,Manipur,24.8025,94.2315,164489,12329,205941,61617
Cyclone,9,26270,71.24,19.8,14,Haridwar,Uttarakhand,29.9661,78.2729,41927,6511,63722,20694
Flood,10,72008,851.93,31.5,12,Harda,Madhya Pradesh,23.4889,77.4819,109509,18749,210075,44701
Tsunami,10,22469,774.86,12.9,15,Gariyaband,Chhattisgarh,20.8842,81.7693,53703,4539,71757,16674
Flood,10,73198,263.73,14.0,8,Korea (Koriya),Chhattisgarh,21.4175,81.0014,83454,15490,187802,46652
Fire,3,44644,324.23,28.8,5,Solapur,Maharashtra,18.6823,72.9723,11218,8770,29832,11906
Fire,5,6000,310.28,27.9,17,Murshidabad,West Bengal,22.5117,89.0462,6155,1820,7031,2285
Flood,10,40833,647.81,19.5,25,Kamrup Metropolitan,Assam,26.4426,92.2519,145955,10464,151174,35864
Earthquake,5,87336,61.21,38.9,10,Bhind,Madhya Pradesh,23.2114,77.3812,76694,18315,122385,46806
Flood,9,689,489.4,16.5,11,North East Delhi,Delhi (NCT),28.8853,76.4943,939,95,1787,423
Earthquake,10,60144,133.87,22.6,28,Malkangiri,Odisha,19.9002,85.4952,201786,14434,183275,66642
Flood,4,65411,819.74,29.4,23,Guna,Madhya Pradesh,23.4548,77.1312,135144,10723,157963,39417
Tsunami,1,58026,380.66,40.4,16,Bhandara,Maharashtra,18.9589,73.0266,62369,7533,86897,25297
Tsunami,10,70699,527.57,24.6,16,Theni,Tamil Nadu,13.274,80.9675,164215,17886,250818,62330
Flood,5,85653,29.32,24.0,4,Kapurthala,Punjab,31.2296,75.4505,33611,12437,128524,37123
Flood,1,84010,58.26,30.3,23,East Sikkim,Sikkim,27.0582,88.8495,134645,7884,126019,34778
Fire,6,88535,675.05,21.1,5,Kanpur Dehat,Uttar Pradesh,26.9787,81.2228,34533,19692,73485,25093
Cyclone,10,49108,766.77,34.8,10,Bhavnagar,Gujarat,23.54,72.5471,57460,12338,96893,38860
Landslide,10,66894,710.04,18.7,14,Vijayapura (Bijapur),Karnataka,12.4337,77.4932,98261,19885,123260,58103
Earthquake,7,79234,737.02,38.8,9,Chitrakoot,Uttar Pradesh,27.1013,81.1843,58304,18666,136088,58695
Cyclone,1,2966,104.62,19.5,18,South Delhi,Delhi (NCT),28.1285,76.69,3467,201,3397,1417
Landslide,10,52990,693.45,44.7,20,Chandigarh,Chandigarh (UT),30.7959,76.7908,116520,16237,120150,41360
Earthquake,4,41604,181.75,21.1,6,East Garo Hills,Meghalaya,25.801,92.2929,16744,5917,46919,21492
Landslide,9,95768,98.02,40.8,11,Kanpur Nagar,Uttar Pradesh,26.994,80.6058,102093,29431,167964,67064
Tsunami,1,53474,757.16,23.9,21,Ghazipur,Uttar Pradesh,26.5553,80.9005,89527,4980,90062,27279
Flood,9,29504,889.41,18.6,17,Chittoor,Andhra Pradesh,16.3801,80.7064,62278,5322,98719,19390
Flood,8,65323,716.71,17.9,9,Medak,Telangana,17.3996,78.1171,68788,13185,159345,31234
Tsunami,5,737,805.57,39.8,25,Bijnor,Uttar Pradesh,26.8389,80.6165,1767,145,1856,697
Landslide,6,90252,991.09,20.8,3,Muzaffarpur,Bihar,26.0357,84.7586,23643,15688,101888,44884
Flood,7,15928,134.76,21.8,16,Mandsaur,Madhya Pradesh,23.1456,77.1806,27225,2973,39806,9235
Landslide,4,53644,965.15,16.9,20,Raisen,Madhya Pradesh,23.0865,77.0053,62291,6872,79628,35480
Earthquake,6,91832,601.2,43.6,4,Gajapati,Odisha,20.601,85.7385,33433,25512,102856,54714
Cyclone,7,45197,813.25,18.6,26,Bagalkot,Karnataka,13.1125,77.5786,134533,7792,103769,34772
Landslide,6,32122,650.17,18.7,24,Rajgarh,Madhya Pradesh,23.3416,77.8432,59740,5267,55948,21737
Flood,6,32302,570.04,43.0,22,Baloda Bazar,Chhattisgarh,21.5254,81.2187,73944,6528,93577,18515
Tsunami,2,28804,703.62,41.5,15,Mahabubabad,Telangana,17.6835,78.5844,33123,3985,48406,15548
Flood,5,91511,320.26,18.7,2,Cachar,Assam,26.0838,91.3018,18133,14019,106310,42444
Earthquake,3,23741,924.27,40.3,20,Dahod,Gujarat,22.9224,72.1887,28708,3636,36411,15792
Flood,7,37579,115.29,18.7,17,Karimnagar,Telangana,17.6823,78.6317,65266,8077,80669,21702
Earthquake,4,78871,318.03,13.0,19,Kavaratti,Lakshadweep (UT),10.092,72.7026,106187,9790,111871,54546
Fire,1,22127,31.16,38.7,20,Deoghar,Jharkhand,23.0178,85.2422,19511,3615,17737,7290
Flood,6,98563,271.32,37.0,16,Peren,Nagaland,26.064,94.0041,160064,16126,214001,60228
Earthquake,6,43012,218.21,20.3,24,Kollam,Kerala,8.6402,77.1574,78946,6911,72082,38507
Earthquake,7,92658,49.63,13.2,19,Barpeta,Assam,26.4267,91.4839,152234,16558,129196,66719
Flood,8,71574,491.77,17.2,21,Khagaria,Bihar,25.7335,85.2746,198586,13719,198874,51595
Landslide,3,42792,468.64,37.0,17,Balasore,Odisha,20.2452,85.9203,39494,5721,47825,20249
Cyclone,6,98984,77.75,43.8,29,Mumbai Suburban,Maharashtra,19.3506,72.6465,285516,21338,244651,94493
Earthquake,10,32309,261.85,19.1,4,Navsari,Gujarat,23.3039,72.2487,15680,5158,46941,20895
Earthquake,2,57663,953.32,38.6,18,Dhule,Maharashtra,19.1387,73.3983,71370,7098,66895,31253
Earthquake,9,56838,110.74,18.0,4,Muzaffarnagar,Uttar Pradesh,27.2864,81.4987,25859,14220,76185,40932
Flood,2,37342,305.02,33.8,21,Sidhi,Madhya Pradesh,23.6522,77.3811,60582,4291,57620,17670
Cyclone,3,10041,35.86,12.9,3,Pudukkottai,Tamil Nadu,13.5681,80.4148,1801,1182,10664,3662
Earthquake,10,7173,148.89,30.5,30,North East Delhi,Delhi (NCT),28.828,77.0146,26538,1625,21020,7758
Fire,2,37927,699.4,19.4,22,Janjgir-Champa,Chhattisgarh,21.6926,81.4476,43435,5940,34301,14298
Landslide,9,46325,366.72,42.4,28,Hassan,Karnataka,13.32,77.4434,120614,13440,92361,41745
Earthquake,1,37196,452.08,20.1,18,Budgam,Jammu and Kashmir,34.5331,75.1987,32065,3000,37092,20375
Flood,5,50646,156.98,23.9,21,Lower Siang,Arunachal Pradesh,26.7594,93.3599,98542,7296,129118,30047
Flood,1,66557,682.14,39.4,20,Jaipur,Rajasthan,26.4308,75.4962,101229,6411,102693,22930
Flood,5,68409,751.52,25.3,5,Visakhapatnam,Andhra Pradesh,16.5281,80.3703,34861,9348,134483,30733
Flood,8,70098,181.11,18.3,29,Gondia,Maharashtra,18.9719,72.9198,227569,12925,226659,53070
Cyclone,8,86596,44.99,29.2,9,Auraiya,Uttar Pradesh,27.2048,81.151,98337,21527,159100,51899
Flood,8,30368,80.94,39.4,22,Ballia,Uttar Pradesh,26.7147,80.9067,81027,6633,76831,21889
Flood,2,85454,657.05,25.2,23,Meerut,Uttar Pradesh,26.9588,81.4096,149269,8116,129933,32769
Flood,8,42178,135.51,14.7,30,Khammam,Telangana,17.4018,78.3754,150120,7837,143158,28543
Flood,5,1965,493.92,23.4,27,Anand,Gujarat,22.5698,72.4414,5274,294,5805,1388
Flood,1,96342,152.64,43.4,24,Purulia,West Bengal,22.046,88.5518,112685,9625,165338,46640
Flood,7,28987,170.15,12.5,15,Hojai,Assam,26.4744,91.2423,47716,4465,68060,15777
Cyclone,6,49976,4.36,24.3,9,Banaskantha (Palanpur),Gujarat,23.1748,72.3628,43651,10751,68223,31602
Earthquake,5,96147,320.82,32.7,14,Alappuzha,Kerala,8.6904,77.3438,120496,19456,108955,74411
Flood,1,33579,89.8,12.7,21,Jayashankar Bhoopalpally,Telangana,17.0731,78.5433,50356,2727,44023,12495
Cyclone,1,40578,393.96,22.1,24,Jorhat,Assam,25.5239,91.4159,60813,3843,51924,22226
Cyclone,6,26501,597.78,42.9,2,Hathras,Uttar Pradesh,27.3313,81.2698,5209,5621,32256,11923
Flood,10,28602,367.53,11.1,26,Pratapgarh,Rajasthan,26.5102,75.0528,100792,5239,90947,18456
Flood,7,13494,705.08,36.3,25,Unakoti,Tripura,24.2384,91.1647,36347,2696,42447,8361
Earthquake,10,98794,741.45,39.4,18,Nalbari,Assam,25.7534,91.1969,219296,32692,232742,100890
Fire,10,9362,696.61,19.7,13,Kheda (Nadiad),Gujarat,23.0776,72.1752,13572,3299,16018,3780
Flood,1,4587,936.71,17.5,28,Sirsa,Haryana,29.5149,75.8597,8151,326,7627,2474
Flood,9,27441,237.29,42.0,21,South West Delhi,Delhi (NCT),28.7239,76.3779,73161,7222,83259,20774
Landslide,4,13670,189.46,36.7,16,Lucknow,Uttar Pradesh,26.4703,80.9995,13455,1975,16646,8926
Cyclone,5,57368,609.71,14.0,6,Dimapur,Nagaland,25.5881,94.1051,33224,8996,79857,23863
Flood,2,29705,594.88,17.4,16,Dhanbad,Jharkhand,23.3078,85.6155,37438,2458,43399,14821
Landslide,10,71702,510.1,31.7,4,Jogulamba Gadwal,Telangana,17.7341,78.5804,28473,22026,97763,46245
Landslide,8,26823,4.35,24.7,24,Pratapgarh,Uttar Pradesh,26.7938,81.2069,59324,6040,48427,21245
Cyclone,2,69208,555.24,27.6,10,Salem,Tamil Nadu,12.6618,80.8008,35980,8406,75273,34608
Earthquake,3,78306,932.8,43.3,19,Yanam,Puducherry (UT),12.1403,79.9019,101520,11374,105957,50535
Flood,9,60198,334.58,24.7,11,Baloda Bazar,Chhattisgarh,21.1092,81.685,92221,13162,172763,42267
Flood,2,93475,967.6,40.9,29,Kishtwar,Jammu and Kashmir,34.2283,74.4409,193449,11148,194110,46184
Earthquake,6,48807,356.76,33.1,5,Kushinagar (Padrauna),Uttar Pradesh,26.8655,80.3699,18931,8171,58947,29211
Flood,4,49128,139.85,14.3,18,Amethi (Chatrapati Sahuji Mahraj Nagar),Uttar Pradesh,26.667,81.0377,78723,6402,100999,25152
Cyclone,7,94037,398.4,36.1,3,Hamirpur,Uttar Pradesh,26.7922,81.5769,28612,21593,144550,42499
Tsunami,6,57021,494.61,28.2,8,Hapur (Panchsheel Nagar),Uttar Pradesh,26.9086,80.7098,51738,11344,107014,30932
Tsunami,10,60860,629.46,17.9,11,Champhai,Mizoram,23.8125,92.5467,102318,17647,208274,49624
Flood,9,10349,504.88,20.1,21,Firozabad,Uttar Pradesh,26.2572,81.0779,29928,2332,40190,7549
Earthquake,9,67947,536.72,29.5,30,Ukhrul,Manipur,24.4964,93.9199,241304,23023,186113,80981
Earthquake,10,97647,24.07,31.1,19,Boudh,Odisha,20.2811,85.8739,210910,24105,219134,89779
Landslide,4,43939,253.62,43.9,21,Dangs (Ahwa),Gujarat,22.6627,72.6475,66257,7565,62159,23381
Cyclone,1,39773,310.7,39.9,25,Jalore,Rajasthan,27.1578,75.6074,56506,5202,47828,20243
Flood,2,3742,987.09,17.2,3,Etah,Uttar Pradesh,26.3753,81.2242,855,318,4087,1203
Flood,8,6438,295.57,37.1,12,Medchal,Telangana,16.7676,78.7023,9123,1392,13882,3702
Cyclone,10,51861,896.58,10.3,15,East Champaran (Motihari),Bihar,25.9579,84.7736,92174,10889,137103,40306
Cyclone,8,9722,304.74,14.5,26,Baran,Rajasthan,26.9493,76.0115,30783,2135,26102,9311
Fire,2,48523,96.11,17.0,23,Kohima,Nagaland,25.7008,93.8689,52985,6681,46350,16447
Fire,4,42973,247.62,30.9,24,Lohardaga,Jharkhand,22.9991,85.3888,68665,12445,54905,17306
Cyclone,1,47665,272.83,16.8,16,Ashoknagar,Madhya Pradesh,23.6879,77.5579,44855,3867,50019,21562
Earthquake,7,7906,978.25,22.8,5,Bagalkot,Karnataka,13.1237,77.5945,4048,1807,12452,4592
Flood,4,857,674.29,18.5,19,Rangareddy,Telangana,17.4175,78.195,1556,103,1641,395
Landslide,8,92346,931.68,21.8,27,Ghazipur,Uttar Pradesh,26.7746,80.9078,245585,18036,215880,75693
Tsunami,9,21570,835.0,43.0,6,Madurai,Tamil Nadu,13.162,80.2626,17547,7468,48973,14669
Tsunami,9,6320,578.6,44.9,29,Buldhana,Maharashtra,19.4086,72.76,25241,1782,29298,7323
Landslide,3,91951,675.39,34.0,12,Ballia,Uttar Pradesh,26.6566,81.2012,74747,11211,95041,41053
Flood,5,54854,624.84,30.0,19,Kheda (Nadiad),Gujarat,23.1638,72.0752,106599,9593,124056,27336
Flood,6,93429,666.26,34.8,9,Gajapati,Odisha,20.5642,85.2906,82604,16979,204263,39387
Earthquake,6,79952,264.77,37.0,18,Kodagu,Karnataka,13.1715,76.9984,126535,14584,116461,64336
Landslide,10,22605,408.13,35.9,29,Unnao,Uttar Pradesh,26.6505,81.4446,62908,6258,55197,23737
Flood,8,28388,592.62,12.9,3,Palakkad,Kerala,8.9005,76.24,10402,5126,52511,11598
Flood,6,74592,35.93,20.9,23,Pratapgarh,Rajasthan,26.7123,75.4944,183993,10559,178799,54002
Landslide,6,19209,482.83,22.0,30,Jayashankar Bhoopalpally,Telangana,17.4989,78.9151,43712,2451,42670,13434
Flood,4,3597,859.73,22.9,14,Bandipore,Jammu and Kashmir,34.3306,74.6688,4515,473,5976,1594
Cyclone,7,57426,492.37,22.1,26,Siwan,Bihar,25.7493,85.8127,142644,11601,157057,53640
Fire,8,9964,552.32,37.5,24,Madurai,Tamil Nadu,13.6668,80.3399,20962,4184,16428,4697
Flood,3,97146,201.91,36.2,21,Tumakuru (Tumkur),Karnataka,12.5835,76.9792,158767,14357,182813,48697
Flood,7,93617,794.34,10.2,5,Kheda (Nadiad),Gujarat,22.9615,71.9888,51103,13955,193184,45662
Fire,3,87662,358.88,20.4,5,Pauri Garhwal,Uttarakhand,30.1524,77.862,24498,18839,69809,23469
Earthquake,8,74410,956.59,31.8,4,Barpeta,Assam,26.0069,91.8735,31508,18142,94758,47579
Tsunami,1,21117,993.71,14.2,25,Rewa,Madhya Pradesh,22.8168,77.6466,38878,1808,38432,12329
Cyclone,1,1921,916.0,12.5,22,Lucknow,Uttar Pradesh,26.6282,81.1019,2358,146,2762,965
Flood,6,50437,84.88,39.0,29,Bhagalpur,Bihar,25.1931,85.5938,141959,10058,145487,31173
Fire,10,45585,333.18,25.8,28,Chitrakoot,Uttar Pradesh,27.1464,81.019,120002,18605,102848,30287
Earthquake,9,83657,945.14,39.9,16,Rewa,Madhya Pradesh,23.0792,77.2005,159832,28003,174967,53237
Flood,4,56488,804.53,38.8,13,Aurangabad,Bihar,25.3145,85.1094,60859,8686,101215,27179
Fire,6,10472,911.18,41.3,8,South Garo Hills,Meghalaya,25.5484,92.2957,6309,3309,10639,3705
Flood,5,94038,572.55,11.7,24,Darjeeling,West Bengal,22.618,88.2556,234373,11983,252656,65793
Cyclone,1,71433,480.4,16.5,21,Salem,Tamil Nadu,12.9613,80.7912,87212,5581,101843,32885
Flood,6,16383,106.5,20.4,16,Basti,Uttar Pradesh,26.5977,81.0453,25509,2265,36276,9682
Cyclone,9,40957,839.47,14.8,28,Dausa,Rajasthan,27.4147,75.9579,134182,9666,135204,36613
Cyclone,3,51872,745.14,27.0,25,West Garo Hills,Meghalaya,25.5696,92.0742,92937,7776,75296,30770
Earthquake,3,59770,58.88,38.0,2,East Sikkim,Sikkim,27.4425,88.5617,7809,7560,45345,29368
Fire,2,73233,209.41,43.3,30,Dangs (Ahwa),Gujarat,22.9347,72.6493,88298,14709,83138,26923
Landslide,4,95956,557.28,41.1,8,South Goa,Goa,15.5657,73.8371,49596,18246,84401,44441
Flood,10,31361,684.4,26.0,3,Poonch,Jammu and Kashmir,34.1847,75.104,13504,9051,69316,17814
Flood,3,57254,137.67,32.3,23,Kalimpong,West Bengal,22.5172,88.5959,106660,7261,108705,33415
Flood,2,6207,244.82,18.1,29,Sivaganga,Tamil Nadu,13.5691,80.5458,11532,613,9756,3282
Flood,1,91396,193.11,24.1,9,West Karbi Anglong,Assam,26.8929,91.6964,47620,7244,98654,25544
Fire,3,35661,220.0,40.5,30,Jalna,Maharashtra,19.028,72.9828,57413,8595,42014,13676
Fire,10,76774,920.71,11.0,11,Morigaon,Assam,25.7508,91.8643,87129,26915,124708,34695
Fire,6,35368,715.82,28.6,21,Sahibganj,Jharkhand,22.6499,85.0032,52827,10727,53968,12448
Flood,9,31708,737.11,40.5,27,Khandwa,Madhya Pradesh,23.1631,77.3123,111195,8532,112649,24879
Cyclone,5,13238,794.0,14.3,24,Rajnandgaon,Chhattisgarh,20.776,81.4609,29587,2096,29861,9172
Earthquake,3,37793,356.57,44.4,20,Navsari,Gujarat,23.3826,72.1472,45333,6934,47921,25750
Flood,5,83100,767.18,10.4,30,Almora,Uttarakhand,30.1181,78.0696,276022,10474,247067,53209
Earthquake,5,21348,978.41,41.0,1,Kinnaur,Himachal Pradesh,30.8975,76.9206,1816,4855,20727,10601
Tsunami,5,18732,698.39,22.4,1,Sagar,Madhya Pradesh,23.7648,77.4401,1908,3100,29836,7685
Cyclone,7,47647,416.75,14.6,22,Mayurbanj,Odisha,20.1574,86.4121,117248,7964,119932,39446
Fire,5,12200,716.36,15.5,8,Durg,Chhattisgarh,21.3158,81.3434,6656,3102,11494,3785
Earthquake,7,48030,900.79,34.5,16,Ballari (Bellary),Karnataka,12.9334,77.5933,74507,7947,97767,51673
Flood,9,66961,128.76,40.5,10,Hapur (Panchsheel Nagar),Uttar Pradesh,27.1392,80.6717,85346,17027,151807,35697
Earthquake,5,77005,265.29,32.4,2,Longleng,Nagaland,26.1786,94.2582,12213,14188,76223,37558
Cyclone,2,53125,919.3,42.5,16,Dindigul,Tamil Nadu,13.1755,80.6938,55063,6540,65383,29882
Flood,5,75976,946.23,39.5,27,Bargarh,Odisha,20.3125,85.7697,221782,15618,234754,41599
Earthquake,8,79044,484.14,10.3,4,Sambalpur,Odisha,20.7301,85.4426,28243,13991,108000,65005
Landslide,4,50940,374.55,33.4,19,Shivamogga (Shimoga),Karnataka,13.6645,77.8853,62180,8902,64252,27666
Cyclone,2,19469,282.78,20.7,29,Pathanamthitta,Kerala,8.3358,77.2319,41601,2313,31944,10358
Cyclone,10,18560,498.75,25.9,9,Chethlath,Lakshadweep (UT),10.3057,72.2247,21222,5448,33632,13770
Landslide,3,91741,934.53,13.3,3,Kangra,Himachal Pradesh,31.5107,77.3449,15240,9857,68887,33987
Landslide,9,97020,149.81,19.9,11,Dehradun,Uttarakhand,30.145,77.5848,111021,18892,153024,57387
Fire,9,1561,419.83,32.1,8,Phek,Nagaland,25.3093,93.6877,1075,587,2031,549
Flood,8,42462,911.61,17.6,30,Kanpur Nagar,Uttar Pradesh,26.7382,80.4273,145534,8047,164947,37217
Landslide,8,98476,349.12,32.7,7,Auraiya,Uttar Pradesh,27.3256,81.1479,68070,19620,129317,48442
Flood,8,28710,768.08,42.3,1,Kokrajhar,Assam,25.9774,91.6456,3847,8417,53882,13611
Earthquake,8,21095,389.26,10.2,8,West Godavari,Andhra Pradesh,16.8574,80.5917,18909,3773,29093,14063
Flood,8,84816,804.93,37.5,25,Ghaziabad,Uttar Pradesh,27.0424,80.3553,241783,19904,285194,81018
Earthquake,1,7817,981.0,32.4,24,Thane,Maharashtra,19.4936,72.7291,10307,654,10339,5457
Cyclone,6,78967,387.82,11.6,26,Chitrakoot,Uttar Pradesh,26.6364,81.0959,189951,11916,195797,54907
Cyclone,9,79572,845.1,37.7,26,Chittorgarh,Rajasthan,26.972,75.7221,234203,22910,280433,72290
Cyclone,8,64122,988.42,17.9,17,Gautam Buddha Nagar,Uttar Pradesh,27.0645,81.1264,132278,12054,190585,53162
Flood,3,53768,983.83,19.3,27,West Sikkim,Sikkim,27.4796,88.7147,130745,6199,117653,21417
Earthquake,1,51745,433.77,13.3,29,Srinagar,Jammu and Kashmir,33.6664,74.3754,76334,3963,65873,30938
Landslide,2,29650,485.76,28.7,11,Kalaburagi (Gulbarga),Karnataka,13.2312,77.6678,18004,2889,24254,11711
Tsunami,2,86251,303.4,27.4,7,Neemuch,Madhya Pradesh,22.9799,77.6223,45809,11294,94069,31823
Flood,7,3676,314.02,22.2,29,Agra,Uttar Pradesh,26.6935,81.2015,12737,813,12297,2808
Fire,6,40968,492.47,15.9,9,Vaishali,Bihar,24.7302,85.0589,26478,11741,43673,12764
Fire,2,98139,200.52,39.3,14,Ambedkar Nagar,Uttar Pradesh,26.8749,80.8527,65761,20059,72364,24514
Cyclone,8,46480,711.12,40.7,5,Dausa,Rajasthan,27.1376,75.8494,28211,12921,83153,30704
Flood,9,5828,536.31,28.9,18,Gumla,Jharkhand,23.5475,85.1726,13640,1146,17293,4438
Fire,7,32900,898.07,18.5,30,Tikamgarh,Madhya Pradesh,23.3482,77.6972,75768,9559,56166,18417
Tsunami,4,10986,810.58,13.4,24,Balaghat,Madhya Pradesh,23.0497,76.9727,23304,1463,29308,7961
Earthquake,1,79714,322.47,40.4,25,Auraiya,Uttar Pradesh,27.1388,80.789,98937,6555,84202,50733
Cyclone,4,70009,505.8,13.4,23,Ramanagara,Karnataka,12.2467,77.6507,132440,8408,139410,54333
